Date,Gold_EUR,Silver_EUR,Platinum_EUR,Palladium_EUR
1978-02-02,193.31,5.78,231.3,67.86
1978-02-03,193.62,5.77,233.6,68.86
1978-02-06,194.28,5.78,234.4,67.93
1978-02-08,192.86,5.71,229.3,66.67
1978-02-09,193.38,5.73,229.7,67.16
1978-02-10,194.97,5.93,233.4,68.59
1978-02-13,196.91,5.98,242.3,71.94
1978-02-14,194.42,5.88,243.3,71.76
1978-02-15,197.52,5.98,248.8,74.15
1978-02-16,196.04,5.97,248.1,74.31
1978-02-17,194.27,5.94,243.6,72.36
1978-02-21,194.51,5.92,244.3,72.69
1978-02-22,193.04,5.84,235.9,68.35
1978-02-23,194.03,5.82,238.4,69.62
1978-02-24,194.34,5.85,239.2,68.16
1978-02-27,194.89,5.84,238.9,67.73
1978-02-28,193.42,5.75,235.0,65.96
1978-03-01,193.39,5.74,234.4,66.09
1978-03-02,193.43,5.77,233.8,66.88
1978-03-03,194.52,5.81,232.1,66.57
1978-03-06,197.52,5.89,238.2,65.56
1978-03-07,198.61,5.5,246.9,68.07
1978-03-08,200.6,6.2,249.7,70.7
1978-03-09,198.61,6.17,244.1,69.53
1978-03-10,202.41,6.3,247.9,69.2
1978-03-13,201.93,6.41,247.4,70.71
1978-03-14,198.01,6.31,244.8,69.81
1978-03-15,195.69,6.34,239.4,69.75
1978-03-16,196.53,6.38,240.1,67.53
1978-03-17,193.46,6.25,233.8,66.06
1978-03-20,186.93,6.05,223.3,62.21
1978-03-21,188.5,6.08,227.2,63.46
1978-03-22,191.4,6.14,231.3,65.72
1978-03-23,191.92,6.18,229.3,64.46
1978-03-27,193.66,6.28,233.9,64.52
1978-03-28,193.03,6.24,233.5,65.28
1978-03-29,189.39,6.18,229.9,63.69
1978-03-30,190.16,6.15,228.6,64.05
1978-03-31,190.82,6.23,232.3,63.54
1978-04-03,185.09,6.08,228.4,62.9
1978-04-04,186.2,6.04,229.1,62.24
1978-04-05,186.52,6.04,228.3,61.52
1978-04-06,188.51,6.07,229.1,63.01
1978-04-07,185.7,6.01,226.5,63.11
1978-04-10,185.83,6.02,226.3,63.11
1978-04-11,187.98,6.12,229.1,63.62
1978-04-12,186.88,6.07,226.2,63.43
1978-04-13,186.69,6.04,224.4,62.99
1978-04-14,185.79,6.03,218.5,62.31
1978-04-17,181.38,5.86,213.7,58.82
1978-04-18,183.46,5.91,215.2,59.26
1978-04-19,183.4,5.9,217.1,59.97
1978-04-20,183.02,5.89,215.4,57.34
1978-04-21,182.37,5.89,217.6,61.04
1978-04-24,179.47,5.77,212.5,58.3
1978-04-25,179.61,5.81,215.6,58.77
1978-04-26,180.91,5.85,219.8,63.01
1978-04-27,181.54,5.83,221.9,66.4
1978-04-28,181.41,5.85,223.0,65.82
1978-05-01,180.33,5.81,220.8,64.04
1978-05-02,182.24,5.89,223.3,64.48
1978-05-03,183.58,5.93,228.5,65.99
1978-05-04,184.8,5.95,231.1,64.96
1978-05-05,185.17,5.96,229.9,64.6
1978-05-08,184.99,5.96,229.2,63.77
1978-05-09,185.77,5.95,229.4,63.43
1978-05-10,187.36,5.99,232.4,63.31
1978-05-11,187.79,5.97,234.3,62.56
1978-05-12,188.87,6.01,238.4,63.79
1978-05-15,191.91,6.08,247.1,65.31
1978-05-16,194.27,6.17,251.4,64.76
1978-05-17,193.68,6.17,262.0,68.31
1978-05-18,193.45,6.16,269.5,67.98
1978-05-19,194.89,6.18,266.6,67.66
1978-05-22,196.1,6.19,265.2,64.75
1978-05-23,198.88,6.25,271.9,66.08
1978-05-24,195.89,6.2,264.0,65.3
1978-05-25,204.92,6.24,261.4,65.73
1978-05-26,204.61,6.26,262.1,65.99
1978-05-30,209.18,6.35,272.9,68.82
1978-05-31,206.69,6.35,271.1,66.25
1978-06-01,206.39,6.28,269.0,65.83
1978-06-02,203.76,6.24,257.2,64.47
1978-06-05,203.59,6.16,254.8,64.0
1978-06-06,203.34,6.18,260.5,63.93
1978-06-07,201.67,6.07,254.3,63.65
1978-06-08,202.74,6.1,259.0,64.08
1978-06-09,202.12,6.06,259.4,62.77
1978-06-12,201.3,6.0,256.4,62.27
1978-06-13,204.21,6.21,266.1,63.05
1978-06-14,203.78,6.15,267.0,63.08
1978-06-15,205.78,6.24,266.8,63.83
1978-06-16,207.57,6.26,271.2,64.26
1978-06-19,208.41,6.22,272.9,64.46
1978-06-20,206.85,6.26,268.3,64.68
1978-06-21,206.04,6.2,257.3,63.93
1978-06-22,207.78,6.22,261.4,64.47
1978-06-23,205.92,6.18,257.2,64.74
1978-06-26,204.88,6.11,260.8,64.85
1978-06-27,205.34,6.23,262.5,64.89
1978-06-28,204.34,6.22,258.4,64.53
1978-06-29,201.77,6.0,253.5,63.14
1978-06-30,201.04,5.96,253.2,62.06
1978-07-03,201.93,6.0,255.5,61.94
1978-07-05,200.76,5.94,253.1,61.23
1978-07-06,200.68,5.91,254.4,61.24
1978-07-07,202.81,5.94,255.5,62.04
1978-07-10,202.47,5.95,255.3,61.55
1978-07-11,202.4,5.95,255.0,61.4
1978-07-12,203.69,5.98,258.8,61.18
1978-07-13,202.34,5.95,258.2,61.76
1978-07-14,203.36,5.94,258.1,62.22
1978-07-17,202.12,5.92,256.6,61.15
1978-07-18,203.07,6.02,256.6,61.37
1978-07-19,204.01,6.04,256.0,61.35
1978-07-20,209.27,6.41,261.6,62.16
1978-07-21,213.25,6.26,267.5,64.66
1978-07-24,209.64,6.48,263.6,63.31
1978-07-25,211.74,6.38,267.0,63.93
1978-07-26,212.06,6.34,266.9,63.34
1978-07-27,216.1,6.43,274.9,65.2
1978-07-28,216.83,6.56,274.2,63.93
1978-07-31,219.25,6.64,277.0,64.17
1978-08-01,217.28,6.53,274.5,64.82
1978-08-02,217.95,6.26,273.1,64.84
1978-08-03,214.43,6.42,269.4,64.11
1978-08-04,218.52,6.48,272.9,63.8
1978-08-07,219.69,6.26,272.0,64.23
1978-08-08,218.14,6.19,271.9,63.81
1978-08-09,214.4,6.12,271.1,63.67
1978-08-10,218.2,6.14,272.7,64.66
1978-08-11,217.98,6.19,273.5,65.29
1978-08-14,219.95,6.21,275.4,65.0
1978-08-15,218.63,6.29,271.8,64.39
1978-08-16,216.71,6.05,269.5,63.73
1978-08-17,216.46,6.05,268.0,62.78
1978-08-18,217.37,6.01,271.4,62.95
1978-08-21,218.92,6.08,270.5,63.92
1978-08-22,214.63,6.03,268.5,63.62
1978-08-23,213.31,6.08,268.9,63.34
1978-08-24,210.12,6.07,266.4,63.1
1978-08-25,209.25,6.1,269.1,63.11
1978-08-28,210.31,6.09,261.2,63.05
1978-08-29,216.13,6.12,266.1,63.29
1978-08-30,215.68,6.11,263.3,62.28
1978-08-31,214.72,6.1,263.3,61.68
1978-09-01,218.67,6.14,265.0,61.39
1978-09-05,220.94,6.17,269.3,61.83
1978-09-06,219.91,6.11,266.6,61.66
1978-09-07,215.35,6.07,264.8,61.66
1978-09-08,216.14,6.23,266.3,61.59
1978-09-11,215.84,6.23,265.1,61.55
1978-09-12,216.46,6.1,266.5,61.2
1978-09-13,218.95,6.29,269.6,61.34
1978-09-14,217.75,6.26,270.2,61.2
1978-09-15,217.48,6.26,267.6,61.75
1978-09-18,219.04,6.27,266.9,61.67
1978-09-19,217.11,6.24,267.3,61.47
1978-09-20,220.79,6.33,268.4,61.29
1978-09-21,220.39,6.29,270.4,61.18
1978-09-22,223.11,6.3,276.2,61.99
1978-09-25,219.85,6.23,279.8,61.58
1978-09-26,219.74,6.24,281.6,62.41
1978-09-27,221.37,6.26,281.3,61.64
1978-09-28,220.08,6.24,281.4,61.73
1978-09-29,219.6,6.21,281.4,61.34
1978-10-02,221.7,6.3,284.4,61.31
1978-10-03,222.07,6.29,285.0,61.5
1978-10-04,221.33,6.25,286.9,62.01
1978-10-05,221.14,6.25,285.4,62.78
1978-10-06,220.17,6.22,286.2,64.15
1978-10-09,221.73,6.32,291.6,65.91
1978-10-10,221.18,6.31,299.5,69.29
1978-10-11,221.34,6.29,305.6,72.24
1978-10-12,217.62,6.21,307.9,72.7
1978-10-13,216.47,6.17,303.8,69.26
1978-10-16,218.02,6.17,310.6,71.5
1978-10-17,217.79,6.13,314.7,70.12
1978-10-18,217.38,6.1,320.3,71.83
1978-10-19,214.37,6.03,318.2,69.95
1978-10-20,213.24,5.94,315.1,68.89
1978-10-23,211.2,5.91,315.9,67.31
1978-10-24,213.47,5.96,314.4,66.6
1978-10-25,214.97,6.04,318.0,68.64
1978-10-26,213.45,6.0,323.3,71.48
1978-10-27,216.06,6.08,333.9,71.48
1978-10-30,218.29,5.98,335.7,74.06
1978-10-31,216.48,6.08,337.8,71.77
1978-11-01,220.03,6.25,348.8,72.29
1978-11-02,211.78,6.17,341.5,67.08
1978-11-03,208.6,6.07,330.9,64.91
1978-11-06,208.43,6.25,315.1,65.7
1978-11-08,210.05,6.2,319.6,68.51
1978-11-09,201.68,6.03,311.8,65.68
1978-11-10,203.13,6.04,301.9,64.65
1978-11-13,204.26,6.0,299.5,65.86
1978-11-14,202.25,6.26,305.3,66.67
1978-11-15,193.62,6.25,297.2,64.48
1978-11-16,195.53,6.39,293.0,64.65
1978-11-17,197.45,6.58,309.5,65.55
1978-11-20,196.45,6.34,313.7,67.76
1978-11-21,195.3,6.42,311.7,67.8
1978-11-22,202.03,6.47,320.3,68.1
1978-11-24,202.97,6.61,327.4,68.18
1978-11-27,197.81,6.4,323.0,68.21
1978-11-28,193.76,6.45,315.3,67.35
1978-11-29,192.53,6.43,313.9,66.51
1978-11-30,194.19,6.53,316.3,66.64
1978-12-01,198.43,6.38,322.3,67.33
1978-12-04,196.38,6.39,319.9,66.9
1978-12-05,195.81,6.38,316.8,66.68
1978-12-06,197.43,6.2,316.8,66.43
1978-12-07,198.7,6.33,323.6,67.02
1978-12-08,203.59,6.37,332.5,67.47
1978-12-11,201.13,6.35,330.9,68.18
1978-12-12,203.54,6.35,332.7,68.79
1978-12-13,199.82,6.35,328.6,68.95
1978-12-14,201.3,6.3,328.1,68.53
1978-12-15,201.96,6.03,325.2,68.42
1978-12-18,207.44,6.27,328.3,67.97
1978-12-19,211.26,6.26,331.5,67.81
1978-12-20,205.46,5.96,326.8,67.32
1978-12-21,207.61,6.01,326.3,68.12
1978-12-26,210.05,6.24,326.7,66.73
1978-12-27,233.07,6.21,326.5,67.05
1978-12-28,211.12,6.21,326.6,66.97
1978-12-29,213.7,5.96,326.5,67.47
1979-01-02,209.42,5.67,322.3,66.35
1979-01-03,211.09,5.97,326.4,66.74
1979-01-04,215.3,6.25,325.3,67.75
1979-01-05,213.34,6.27,325.3,67.76
1979-01-08,214.07,6.27,327.0,67.42
1979-01-09,210.61,6.27,326.4,67.55
1979-01-10,211.67,6.25,326.5,68.98
1979-01-11,208.57,6.2,326.1,69.17
1979-01-12,208.79,6.25,328.1,69.38
1979-01-15,209.76,6.33,333.0,71.22
1979-01-16,214.67,5.95,340.6,72.19
1979-01-17,214.89,5.97,338.8,72.01
1979-01-18,217.33,5.97,341.1,72.69
1979-01-19,223.84,6.46,344.4,73.38
1979-01-22,222.86,6.49,342.8,74.22
1979-01-23,225.31,6.55,350.2,74.6
1979-01-24,229.53,6.71,358.1,76.6
1979-01-25,227.4,6.78,355.8,76.4
1979-01-26,228.48,6.79,361.6,80.19
1979-01-29,225.21,6.81,361.0,84.19
1979-01-30,227.36,6.88,366.4,84.16
1979-01-31,227.24,6.93,364.7,85.09
1979-02-01,227.11,6.93,368.4,85.75
1979-02-02,234.5,6.69,377.6,88.77
1979-02-05,239.5,7.25,383.0,91.34
1979-02-06,235.57,7.34,388.9,93.28
1979-02-07,242.45,7.45,394.0,96.04
1979-02-08,233.99,7.32,386.3,92.65
1979-02-09,234.27,7.48,384.6,91.51
1979-02-12,235.51,7.45,387.6,93.79
1979-02-13,230.47,7.31,380.3,90.61
1979-02-14,237.14,7.49,386.3,94.29
1979-02-15,235.65,7.54,383.2,95.5
1979-02-16,238.42,7.74,388.3,97.42
1979-02-20,240.58,7.94,397.0,98.82
1979-02-21,240.59,7.98,396.8,99.06
1979-02-22,240.93,7.92,393.0,96.64
1979-02-23,242.62,7.99,396.1,96.59
1979-02-26,234.63,7.79,386.1,92.64
1979-02-27,238.47,7.91,385.6,94.74
1979-02-28,240.17,7.44,388.6,94.97
1979-03-01,239.68,7.89,387.5,94.45
1979-03-02,231.51,7.71,378.4,91.67
1979-03-05,225.79,7.54,369.7,88.05
1979-03-06,228.39,7.55,360.4,87.57
1979-03-07,230.23,6.93,350.9,88.01
1979-03-08,231.98,6.94,346.4,86.7
1979-03-09,233.52,7.39,355.5,88.13
1979-03-12,232.2,6.83,354.9,88.2
1979-03-13,233.45,7.35,362.0,87.97
1979-03-14,232.7,7.42,365.6,88.45
1979-03-15,237.15,7.62,372.4,90.54
1979-03-16,237.07,7.58,372.6,90.62
1979-03-19,237.23,7.55,368.1,90.54
1979-03-20,232.89,7.57,363.8,88.69
1979-03-21,236.57,7.76,373.5,90.55
1979-03-22,235.64,7.82,376.9,90.59
1979-03-23,235.83,7.82,375.8,90.07
1979-03-26,239.07,7.91,382.6,91.06
1979-03-27,236.82,7.8,377.3,90.39
1979-03-28,235.84,7.82,377.1,90.65
1979-03-29,233.55,7.69,368.7,89.82
1979-03-30,233.46,7.64,364.6,91.74
1979-04-02,235.51,7.71,368.7,90.42
1979-04-03,234.32,7.58,363.0,89.27
1979-04-04,236.84,7.68,366.8,90.18
1979-04-05,235.63,7.7,366.4,90.77
1979-04-06,237.16,7.82,373.3,91.16
1979-04-09,237.64,7.94,373.7,92.24
1979-04-10,236.12,7.89,372.6,91.86
1979-04-11,228.51,7.71,361.9,89.35
1979-04-12,229.79,7.75,359.2,89.73
1979-04-16,227.66,7.48,357.9,89.07
1979-04-17,230.17,7.36,361.2,89.29
1979-04-18,235.76,7.43,368.4,91.09
1979-04-19,233.5,7.3,365.8,89.13
1979-04-20,233.26,7.32,367.5,90.57
1979-04-23,237.58,7.37,372.2,90.43
1979-04-24,237.57,7.37,373.1,90.67
1979-04-25,238.14,7.46,376.5,91.31
1979-04-26,237.73,7.48,377.2,90.88
1979-04-27,241.68,7.67,385.1,91.52
1979-04-30,242.65,7.88,392.5,92.79
1979-05-01,240.84,7.81,385.9,92.14
1979-05-02,242.27,7.86,388.0,92.42
1979-05-03,243.15,7.95,393.3,93.85
1979-05-04,243.74,8.14,399.6,95.72
1979-05-07,244.73,8.28,399.5,96.94
1979-05-08,240.98,8.09,392.9,94.76
1979-05-09,245.33,8.23,402.4,96.36
1979-05-10,245.94,8.29,406.3,97.17
1979-05-11,243.45,8.14,402.1,97.26
1979-05-14,247.71,8.27,409.7,98.13
1979-05-15,250.29,8.27,418.0,100.29
1979-05-16,252.88,8.27,420.3,100.39
1979-05-17,254.81,8.29,423.0,101.84
1979-05-18,270.24,8.26,426.5,101.34
1979-05-21,268.27,8.46,433.2,105.28
1979-05-22,266.16,8.65,430.3,109.08
1979-05-23,274.22,8.53,424.8,110.83
1979-05-24,274.62,8.56,425.6,112.59
1979-05-25,270.78,8.78,434.9,116.85
1979-05-29,270.19,8.59,429.6,116.48
1979-05-30,272.06,8.54,432.5,120.32
1979-05-31,275.16,8.58,432.2,120.79
1979-06-01,272.22,8.42,424.4,117.48
1979-06-04,274.36,8.44,413.9,114.49
1979-06-05,279.15,8.49,417.6,116.81
